fips,median_household_income
12071,"54,198"
12073,"51,716"
12075,"37,272"
12077,"41,308"
12079,"37,256"
12081,"55,189"
12083,"43,772"
12085,"58,344"
12086,"49,758"
12087,"63,009"
12089,"70,590"
12091,"60,798"
12093,"42,524"
12095,"54,021"
12097,"49,284"
12099,"60,059"
12101,"51,247"
12103,"51,488"
12105,"48,328"
12107,"34,390"
12109,"77,022"
12111,"49,995"
12113,"65,434"
12115,"58,423"
12117,"63,865"
12119,"57,931"
12121,"44,144"
12123,"41,557"
12125,"47,373"
12127,"46,911"
12129,"55,717"
12131,"52,922"
12133,"36,052"
13001,"40,862"
13003,"34,821"
13005,"38,417"
13007,"37,286"
13009,"40,358"
13011,"49,481"
13013,"60,028"
13015,"55,067"
13017,"32,370"
13019,"38,239"
13021,"39,047"
13023,"44,262"
13025,"40,906"
13027,"36,030"
13029,"73,877"
13031,"42,068"
13033,"41,863"
13035,"46,062"
13037,"33,889"
13039,"53,582"
13043,"33,846"
13045,"51,388"
13047,"53,833"
13049,"40,636"
13051,"54,667"
13053,"44,439"
13055,"39,325"
13057,"78,247"
13059,"39,901"
13061,"29,122"
13063,"44,757"
13065,"37,174"
13067,"75,485"
13069,"39,408"
13071,"36,651"
13073,"75,832"
13075,"36,463"
13077,"73,296"
13079,"47,422"
13081,"34,754"
13083,"45,053"
13085,"64,930"
13087,"37,835"
13089,"61,496"
13091,"36,067"
13093,"35,781"
13095,"36,994"
13097,"60,177"
13099,"32,490"
13101,"36,559"
13103,"68,109"
13105,"35,452"
13107,"33,551"
13109,"34,464"
13111,"42,986"
13113,"87,831"
13115,"45,979"
13117,"103,083"
13119,"42,703"
13121,"64,901"
13123,"46,200"
13125,"43,529"
13127,"50,740"
13129,"46,868"
13131,"41,095"
13133,"50,736"
13135,"68,957"
13137,"49,292"
13139,"61,320"
13141,"31,247"
13143,"45,167"
13145,"72,811"
13147,"44,603"
13149,"44,575"
13151,"67,493"
13153,"59,291"
13155,"38,511"
13157,"63,422"
13159,"50,234"
13161,"36,786"
13163,"35,201"
13165,"32,472"
13167,"35,243"
13169,"56,039"
13171,"41,060"
13173,"39,165"
13175,"38,078"
13177,"68,891"
13179,"45,655"
13181,"44,819"
13183,"48,328"
13185,"42,019"
13187,"55,453"
13189,"40,814"
13191,"40,832"
13193,"32,974"
13195,"47,956"
13197,"39,408"
13199,"38,442"
13201,"37,878"
13205,"36,234"
13207,"57,038"
13209,"41,858"
13211,"55,251"
13213,"45,975"
13215,"42,610"
13217,"55,632"
13219,"92,216"
13221,"44,718"
13223,"67,906"
13225,"46,608"
13227,"61,145"
13229,"42,140"
13231,"62,250"
13233,"43,488"
13235,"39,743"
13237,"47,710"
13239,"31,151"
13241,"43,042"
13243,"30,847"
13245,"38,297"
13247,"59,341"
13249,"43,568"
13251,"38,870"
13253,"35,527"
13255,"45,121"
13257,"40,483"
13259,"31,800"
13261,"36,611"
13263,"36,269"
13265,"30,586"
13267,"38,672"
13269,"35,608"
13271,"31,354"
13273,"33,939"
13275,"43,257"
13277,"41,544"
13279,"35,226"
13281,"44,055"
13283,"34,473"
13285,"43,112"
13287,"33,310"
13289,"39,639"
13291,"46,097"
13293,"39,780"
13295,"44,176"
13297,"58,028"
13299,"38,412"
13301,"34,680"
13303,"37,464"
13305,"45,814"
13307,"39,266"
13309,"31,001"
13311,"50,194"
13313,"42,568"
13315,"35,015"
13317,"34,897"
13319,"40,906"
13321,"42,913"
15001,"56,540"
15003,"80,947"
15005,.
15007,"74,881"
15009,"76,376"
16001,"61,469"
16003,"43,442"
16005,"51,093"
16007,"51,343"
16009,"43,570"
16011,"52,697"
16013,"68,101"
16015,"56,067"
16017,"47,537"
16019,"55,744"
16021,"43,835"
16023,"45,226"
16025,"51,045"
16027,"47,915"
16029,"58,739"
16031,"51,323"
16033,"42,226"
16035,"46,214"
16037,"44,100"
16039,"45,708"
16041,"55,056"
16043,"48,581"
16045,"47,481"
16047,"46,218"
16049,"42,503"
16051,"59,869"
16053,"50,728"
16055,"56,921"
16057,"49,445"
16059,"41,153"
16061,"44,674"
16063,"49,207"
16065,"40,666"
16067,"48,485"
16069,"54,729"
16071,"60,264"
16073,"44,251"
16075,"50,817"
16077,"45,922"
16079,"46,793"
16081,"63,168"
16083,"50,909"
16085,"56,532"
16087,"41,757"
17001,"49,088"
17003,"33,985"
17005,"54,831"
17007,"69,413"
17009,"53,875"
17011,"55,632"
17013,"55,138"
17015,"49,744"
17017,"50,568"
17019,"51,466"
17021,"52,817"
17023,"55,205"
17025,"45,028"
17027,"65,586"
17029,"46,012"
17031,"61,401"
17033,"49,712"
17035,"55,622"
17037,"60,856"
17039,"56,091"
17041,"54,538"
17043,"89,536"
17045,"46,916"
17047,"48,649"
17049,"60,061"
17051,"45,193"
17053,"55,356"
17055,"40,682"
17057,"49,315"
17059,"42,533"
17061,"47,188"
17063,"76,214"
17065,"49,092"
17067,"52,625"
17069,"40,160"
17071,"51,014"
17073,"58,675"
17075,"50,131"
17077,"38,157"
17079,"55,240"
17081,"50,622"
17083,"58,928"
17085,"51,866"
17087,"49,763"
17089,"75,739"
17091,"57,706"
17093,"97,039"
17095,"44,686"
17097,"86,242"
17099,"56,854"
17101,"45,235"
17103,"59,450"
17105,"55,003"
17107,"56,838"
17109,"44,524"
17111,"86,450"
17113,"68,895"
17115,"51,828"
17117,"51,756"
17119,"58,077"
17121,"45,126"
17123,"55,337"
17125,"51,731"
17127,"47,646"
17129,"65,367"
17131,"52,846"
17133,"83,767"
17135,"51,206"
17137,"52,357"
17139,"60,496"
17141,"60,656"
17143,"54,195"
17145,"50,553"
17147,"67,173"
17149,"43,301"
17151,"43,119"
17153,"38,846"
17155,"64,000"
17157,"52,749"
17159,"48,489"
17161,"51,805"
17163,"51,937"
17165,"41,394"
17167,"61,519"
17169,"52,946"
17171,"49,745"
17173,"51,873"
17175,"51,446"
17177,"48,237"
17179,"61,086"
17181,"45,847"
17183,"43,649"
17185,"52,535"
17187,"54,023"
17189,"56,118"
17191,"46,339"
17193,"48,202"
17195,"54,284"
17197,"82,477"
17199,"49,993"
17201,"53,490"
17203,"75,733"
18001,"51,488"
18003,"52,661"
18005,"61,943"
18007,"52,841"
18009,"42,636"
18011,"82,670"
18013,"56,979"
18015,"55,471"
18017,"47,727"
18019,"52,746"
18021,"50,746"
18023,"51,540"
18025,"42,555"
18027,"46,292"
18029,"65,005"
18031,"55,808"
18033,"54,289"
18035,"41,874"
18037,"63,033"
18039,"58,781"
18041,"44,970"
18043,"61,009"
18045,"50,817"
18047,"62,467"
18049,"51,088"
18051,"53,714"
18053,"44,790"
18055,"59,347"
18057,"95,080"
18059,"73,294"
18061,"57,136"
18063,"75,647"
18065,"48,915"
18067,"51,035"
18069,"53,635"
18071,"48,789"
18073,"58,891"
18075,"46,740"
18077,"51,163"
18079,"48,961"
18081,"70,690"
18083,"44,044"
18085,"62,666"
18087,"63,291"
18089,"54,929"
18091,"51,532"
18093,"49,112"
18095,"44,987"
18097,"47,642"
18099,"53,387"
18101,"50,203"
18103,"47,225"
18105,"49,180"
18107,"53,720"
18109,"61,068"
18111,"58,384"
18113,"52,764"
18115,"56,915"
18117,"43,061"
18119,"49,044"
18121,"48,537"
18123,"50,670"
18125,"49,844"
18127,"67,525"
18129,"65,617"
18131,"50,022"
18133,"57,402"
18135,"46,016"
18137,"52,562"
18139,"51,113"
18141,"52,188"
18143,"48,615"
18145,"61,327"
18147,"56,646"
18149,"46,940"
18151,"55,184"
18153,"46,810"
18155,"47,478"
18157,"52,858"
18159,"55,503"
18161,"48,206"
18163,"47,456"
18165,"46,330"
18167,"42,497"
18169,"50,177"
18171,"58,045"
18173,"75,727"
18175,"47,686"
18177,"44,179"
18179,"55,221"
18181,"52,377"
18183,"60,126"
19001,"52,155"
19003,"48,191"
19005,"49,445"
19007,"42,274"
19009,"51,484"
19011,"67,946"
19013,"50,426"
19015,"60,558"
19017,"64,213"
19019,"62,294"
19021,"53,230"
19023,"58,386"
19025,"51,754"
19027,"55,084"
19029,"49,281"
19031,"63,430"
19033,"54,454"
19035,"56,343"
19037,"56,819"
19039,"49,889"
19041,"53,615"
19043,"54,740"
19045,"50,729"
19047,"53,806"
19049,"90,133"
19051,"51,477"
19053,"41,843"
19055,"60,458"
19057,"50,773"
19059,"56,496"
19061,"60,936"
19063,"49,353"
19065,"46,389"
19067,"51,901"
19069,"53,157"
19071,"52,616"
19073,"52,459"
19075,"72,184"
19077,"57,635"
19079,"57,106"
19081,"56,542"
19083,"52,662"
19085,"55,835"
19087,"53,670"
19089,"53,046"
19091,"57,197"
19093,"55,732"
19095,"64,091"
19097,"53,539"
19099,"56,134"
19101,"47,907"
19103,"61,395"
19105,"58,689"
19107,"50,980"
19109,"55,491"
19111,"50,481"
19113,"63,754"
19115,"56,067"
19117,"46,169"
19119,"61,749"
19121,"66,012"
19123,"55,947"
19125,"61,175"
19127,"50,495"
19129,"67,016"
19131,"54,451"
19133,"49,236"
19135,"52,047"
19137,"51,317"
19139,"59,042"
19141,"60,375"
19143,"56,459"
19145,"47,994"
19147,"52,311"
19149,"67,056"
19151,"47,919"
19153,"66,112"
19155,"57,867"
19157,"55,766"
19159,"45,259"
19161,"54,328"
19163,"59,461"
19165,"56,373"
19167,"70,601"
19169,"61,381"
19171,"52,685"
19173,"47,383"
19175,"47,814"
19177,"47,667"
19179,"46,981"
19181,"76,146"
19183,"59,903"
19185,"45,384"
19187,"48,712"
19189,"54,045"
19191,"59,365"
19193,"54,528"
19195,"55,404"
19197,"52,803"
20001,"42,957"
20003,"46,595"
20005,"45,941"
20007,"47,948"
20009,"46,934"
20011,"41,847"
20013,"45,637"
20015,"65,561"
20017,"47,436"
20019,"41,890"
20021,"42,469"
