fips,state,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region
2240,AK,15.4,1060,22.1, 410 ,3.53,638000.0,O
2261,AK,11.5,1090,16.5, 370 ,3.52,654000.0,O
2275,AK,14.0,350,20.0, 100 ,3.57,213000.0,O
2282,AK,13.6,90,19.3, 30 ,3.64,56000.0,O
2290,AK,23.2,1270,33.3, 510 ,3.56,772000.0,O
4001,AZ,24.2,17330,34.2, 6950 ,3.08,9109000.0,W
4003,AZ,13.9,17580,22.5, 6300 ,2.89,8677000.0,W
4005,AZ,18.0,24950,23.3, 6960 ,3.23,13770000.0,W
4007,AZ,16.8,8950,27.1, 2940 ,3.09,4725000.0,W
4009,AZ,14.7,5540,23.8, 2460 ,2.94,2781000.0,W
4011,AZ,11.6,1090,19.5, 520 ,2.97,552000.0,W
4012,AZ,14.9,3050,25.9, 880 ,3.05,1586000.0,W
4013,AZ,13.7,571060,20.4, 210760 ,3.08,300180000.0,W
4015,AZ,16.8,34330,24.7, 9210 ,3.06,17898000.0,W
4017,AZ,20.9,22590,29.9, 8910 ,2.94,11322000.0,W
4019,AZ,13.6,137450,21.2, 46370 ,3.02,70894000.0,W
4021,AZ,13.3,54010,21.3, 20590 ,2.92,26943000.0,W
4023,AZ,9.6,4440,24.1, 3120 ,2.54,1922000.0,W
4025,AZ,14.9,32870,21.3, 8090 ,3.19,17872000.0,W
4027,AZ,16.1,32820,30.7, 16260 ,2.7,15144000.0,W
5001,AR,19.4,3550,23.8, 1000 ,3.05,1850000.0,S
5003,AR,19.4,4030,26.3, 1270 ,2.99,2055000.0,S
5005,AR,13.9,5720,22.3, 1610 ,3.1,3022000.0,S
5007,AR,11.1,27900,18.9, 12830 ,2.96,14113000.0,S
5009,AR,14.6,5420,23.4, 1980 ,2.59,2391000.0,S
5011,AR,20.1,2220,27.3, 710 ,2.95,1117000.0,S
5013,AR,17.1,890,25.2, 250 ,2.9,441000.0,S
5015,AR,12.3,3430,21.6, 1340 ,3.07,1796000.0,S
5017,AR,25.7,2830,28.6, 700 ,2.9,1400000.0,S
5019,AR,19.5,4390,24.1, 1040 ,3.07,2297000.0,S
5021,AR,17.3,2630,26.9, 900 ,2.61,1174000.0,S
5023,AR,14.9,3780,24.3, 1190 ,3.15,2033000.0,S
5025,AR,17.0,1420,25.8, 490 ,2.96,716000.0,S
5027,AR,22.1,5310,26.3, 1340 ,2.94,2668000.0,S
5029,AR,17.1,3590,25.1, 1210 ,2.8,1713000.0,S
5031,AR,17.2,17980,22.6, 5850 ,2.74,8411000.0,S
5033,AR,13.8,8600,22.8, 3540 ,2.96,4350000.0,S
5035,AR,23.8,11750,26.1, 3560 ,2.95,5916000.0,S
5037,AR,18.5,3170,23.9, 990 ,2.77,1501000.0,S
5039,AR,19.3,1460,20.9, 360 ,2.94,732000.0,S
5041,AR,25.6,3100,29.6, 920 ,2.89,1529000.0,S
5043,AR,21.2,3960,25.2, 1030 ,2.99,2022000.0,S
5045,AR,16.2,19680,20.4, 5820 ,3.02,10149000.0,S
5047,AR,16.0,2850,25.6, 1060 ,2.84,1383000.0,S
5049,AR,16.5,2000,28.3, 690 ,2.88,981000.0,S
