fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
13055,24880,87.00,10.30,0.10,0.40,0.00,0.50,0.01
13057,235896,86.40,6.60,0.30,1.90,0.00,0.30,0.03
13059,123554,63.40,27.30,0.10,4.30,0.00,0.40,0.03
13061,3024,30.30,64.30,0.00,0.00,0.00,6.50,0.05
13063,274150,18.60,68.70,0.20,5.30,0.00,0.30,0.06
13065,6788,66.10,27.40,0.30,0.60,0.00,0.90,0.04
13067,739072,59.90,27.10,0.20,5.10,0.10,0.20,0.06
13069,43048,67.50,28.00,0.20,0.70,0.00,0.70,0.02
13071,45890,64.30,22.70,0.40,0.80,0.00,0.80,0.11
13073,143723,75.00,16.50,0.40,4.00,0.00,0.60,0.01
13075,17190,69.30,27.30,0.30,0.60,0.00,0.90,0.01
13077,138015,76.80,17.60,0.10,1.80,0.00,0.40,0.01
13079,12385,73.80,23.30,0.10,1.10,0.00,0.90,0.00
13081,23005,53.50,43.20,0.00,1.20,0.20,1.00,0.00
13083,16282,95.10,0.70,0.70,1.50,0.80,0.70,0.01
13085,23397,96.60,1.20,0.10,0.30,0.00,0.50,0.00
13087,27023,52.40,42.10,0.10,0.40,0.00,0.30,0.04
13089,736066,34.60,54.00,0.70,6.10,0.00,0.20,0.03
13091,21063,67.00,27.80,0.00,0.60,0.00,1.20,0.02
13093,14053,43.80,49.70,0.00,0.10,0.00,1.30,0.06
13095,91522,27.60,68.60,0.20,0.90,0.00,0.60,0.01
13097,140152,48.30,45.00,0.10,1.70,0.00,0.40,0.04
13099,10405,46.20,51.00,0.10,0.80,0.00,0.80,0.02
13101,4011,78.20,2.70,1.90,0.00,0.00,2.40,0.14
13103,57087,82.40,13.30,0.10,1.00,0.10,0.50,0.01
13105,19288,68.20,30.50,0.00,0.20,0.00,0.40,0.01
13107,22502,61.80,34.30,0.00,0.30,0.00,1.10,0.02
13109,10757,59.10,30.20,0.00,0.80,0.00,0.60,0.09
13111,24480,97.00,0.20,0.30,0.60,0.10,0.50,0.00
13113,110306,69.10,21.20,0.30,4.50,0.10,0.60,0.02
13115,96471,78.40,14.50,0.10,1.50,0.00,0.40,0.04
13117,211300,83.00,2.90,0.20,10.60,0.00,0.30,0.01
13119,22328,86.20,9.80,0.10,0.70,0.00,0.50,0.02
13121,1010420,45.00,44.10,0.40,6.70,0.00,0.20,0.02
13123,29614,91.30,1.70,0.90,0.50,0.00,0.60,0.06
13125,3027,88.20,8.80,0.80,0.00,0.00,1.90,0.01
13127,83467,67.70,25.80,0.40,1.30,0.00,0.60,0.03
13129,56424,90.20,4.10,0.80,1.10,0.00,0.40,0.03
13131,25048,66.40,28.80,0.50,0.50,0.30,0.80,0.03
13133,16732,59.00,35.90,0.10,1.00,0.00,0.90,0.03
13135,889954,50.70,26.70,0.30,11.20,0.00,0.30,0.09
13137,43878,86.30,3.10,0.10,2.30,0.20,0.50,0.05
13139,192865,84.10,7.50,0.30,1.70,0.00,0.30,0.05
13141,8667,24.50,73.00,0.00,0.50,0.10,0.50,0.01
13143,28722,92.00,4.30,0.20,0.80,0.00,0.60,0.01
