fips,median_household_income
13293,39780
13295,44176
13297,58028
13299,38412
13301,34680
13303,37464
13305,45814
13307,39266
13309,31001
13311,50194
13313,42568
13315,35015
13317,34897
13319,40906
13321,42913
15001,56540
15003,80947
15005,
15007,74881
15009,76376
16001,61469
16003,43442
16005,51093
16007,51343
16009,43570
16011,52697
16013,68101
16015,56067
16017,47537
16019,55744
16021,43835
16023,45226
16025,51045
16027,47915
16029,58739
16031,51323
16033,42226
16035,46214
16037,44100
16039,45708
16041,55056
16043,48581
16045,47481
16047,46218
16049,42503
16051,59869
16053,50728
16055,56921
16057,49445
16059,41153
16061,44674
16063,49207
16065,40666
16067,48485
16069,54729
16071,60264
16073,44251
16075,50817
16077,45922
16079,46793
16081,63168
16083,50909
16085,56532
16087,41757
17001,49088
17003,33985
17005,54831
17007,69413
17009,53875
17011,55632
17013,55138
17015,49744
17017,50568
17019,51466
17021,52817
17023,55205
17025,45028
17027,65586
17029,46012
17031,61401
17033,49712
17035,55622
17037,60856
17039,56091
17041,54538
17043,89536
17045,46916
17047,48649
17049,60061
17051,45193
17053,55356
17055,40682
17057,49315
17059,42533
17061,47188
17063,76214
17065,49092
17067,52625
17069,40160
17071,51014
17073,58675
17075,50131
17077,38157
17079,55240
17081,50622
17083,58928
17085,51866
17087,49763
17089,75739
17091,57706
17093,97039
17095,44686
17097,86242
17099,56854
17101,45235
17103,59450
17105,55003
17107,56838
17109,44524
17111,86450
17113,68895
17115,51828
17117,51756
17119,58077
17121,45126
17123,55337
17125,51731
17127,47646
17129,65367
17131,52846
17133,83767
17135,51206
17137,52357
17139,60496
17141,60656
17143,54195
17145,50553
17147,67173
17149,43301
17151,43119
17153,38846
17155,64000
17157,52749
17159,48489
17161,51805
17163,51937
17165,41394
17167,61519
17169,52946
17171,49745
17173,51873
17175,51446
17177,48237
17179,61086
17181,45847
17183,43649
17185,52535
17187,54023
17189,56118
17191,46339
17193,48202
17195,54284
17197,82477
17199,49993
17201,53490
17203,75733
18001,51488
18003,52661
18005,61943
18007,52841
18009,42636
18011,82670
18013,56979
18015,55471
18017,47727
18019,52746
18021,50746
18023,51540
18025,42555
18027,46292
18029,65005
18031,55808
18033,54289
18035,41874
18037,63033
18039,58781
18041,44970
18043,61009
18045,50817
18047,62467
18049,51088
18051,53714
18053,44790
18055,59347
18057,95080
18059,73294
18061,57136
18063,75647
18065,48915
18067,51035
18069,53635
18071,48789
18073,58891
18075,46740
18077,51163
18079,48961
18081,70690
18083,44044
18085,62666
18087,63291
18089,54929
18091,51532
18093,49112
18095,44987
18097,47642
18099,53387
18101,50203
18103,47225
18105,49180
18107,53720
18109,61068
18111,58384
18113,52764
18115,56915
18117,43061
18119,49044
18121,48537
18123,50670
18125,49844
18127,67525
18129,65617
18131,50022
18133,57402
18135,46016
18137,52562
18139,51113
18141,52188
18143,48615
18145,61327
18147,56646
18149,46940
18151,55184
18153,46810
18155,47478
18157,52858
18159,55503
18161,48206
18163,47456
18165,46330
18167,42497
18169,50177
18171,58045
18173,75727
18175,47686
18177,44179
18179,55221
18181,52377
18183,60126
19001,52155
19003,48191
19005,49445
19007,42274
19009,51484
19011,67946
19013,50426
19015,60558
19017,64213
19019,62294
19021,53230
19023,58386
19025,51754
19027,55084
19029,49281
19031,63430
19033,54454
19035,56343
19037,56819
19039,49889
19041,53615
19043,54740
19045,50729
19047,53806
19049,90133
19051,51477
19053,41843
19055,60458
19057,50773
19059,56496
19061,60936
19063,49353
19065,46389
19067,51901
19069,53157
19071,52616
19073,52459
19075,72184
19077,57635
19079,57106
19081,56542
19083,52662
19085,55835
19087,53670
19089,53046
19091,57197
19093,55732
19095,64091
19097,53539
19099,56134
19101,47907
19103,61395
19105,58689
19107,50980
19109,55491
19111,50481
19113,63754
19115,56067
19117,46169
19119,61749
19121,66012
19123,55947
19125,61175
19127,50495
19129,67016
19131,54451
19133,49236
19135,52047
19137,51317
19139,59042
19141,60375
19143,56459
19145,47994
19147,52311
19149,67056
19151,47919
19153,66112
19155,57867
19157,55766
19159,45259
19161,54328
19163,59461
19165,56373
19167,70601
19169,61381
19171,52685
19173,47383
19175,47814
19177,47667
19179,46981
19181,76146
19183,59903
19185,45384
19187,48712
19189,54045
19191,59365
19193,54528
19195,55404
19197,52803
20001,42957
20003,46595
20005,45941
20007,47948
20009,46934
20011,41847
20013,45637
20015,65561
20017,47436
20019,41890
20021,42469
20023,42247
20025,51621
20027,50634
20029,46241
20031,57021
20033,46636
20035,46703
20037,39461
20039,42077
20041,52562
20043,48553
20045,56007
20047,47725
20049,39556
20051,49715
20053,51355
20055,54534
20057,50080
20059,55330
20061,52012
20063,47029
20065,41138
20067,59534
20069,67671
20071,48647
20073,40741
20075,47454
20077,44594
20079,55470
20081,54145
20083,51962
20085,49779
20087,66044
20089,43234
20091,83516
20093,50526
20095,50081
20097,44374
20099,46819
20101,55083
20103,70740
20105,43865
20107,47300
20109,48024
20111,47279
20113,55686
20115,49980
20117,49466
20119,56397
20121,69327
20123,43743
20125,45808
20127,49561
20129,50698
20131,58729
20133,44073
20135,49258
20137,47697
20139,53537
20141,42832
20143,46585
20145,47677
20147,47196
20149,65956
20151,56540
20153,44596
20155,48588
20157,44247
20159,51102
20161,50212
20163,44086
20165,44203
20167,43139
20169,50072
20171,59798
20173,54176
20175,46541
20177,56810
20179,51363
20181,45991
20183,41047
20185,46396
20187,57769
20189,56569
20191,53212
20193,53249
20195,46634
20197,63690
20199,52621
20201,47889
20203,54401
20205,41866
20207,38840
20209,46032
21001,35026
21003,40955
21005,53113
21007,44010
21009,41477
21011,40507
21013,28150
21015,78163
21017,46281
21019,40752
21021,48290
21023,49416
21025,27372
21027,43148
21029,62550
21031,47146
21033,42857
21035,43554
21037,61384
21039,42019
21041,48404
21043,37186
21045,31395
21047,43124
21049,53784
21051,26386
21053,29641
21055,41522
21057,31736
21059,50359
21061,39490
21063,32846
21065,34096
21067,56192
21069,41029
21071,32841
21073,53198
21075,30761
21077,47907
21079,50518
21081,51849
