fips,popestimate17
13289,8253
13291,23376
13293,26201
13295,68999
13297,91296
13299,35668
13301,5265
13303,20311
13305,29797
13307,2589
13309,7960
13311,29445
13313,104234
13315,8791
13317,9860
13319,8954
13321,20528
15001,199981
15003,986353
15005,86
15007,71827
15009,166146
16001,456548
16003,4127
16005,85482
16007,6023
16009,9157
16011,45884
16013,22373
16015,7347
16017,43654
16019,114488
16021,11965
16023,2585
16025,1096
16027,216858
16029,6973
16031,23650
16033,879
16035,8646
16037,4135
16039,26881
16041,13467
16043,13122
16045,17311
16047,15121
16049,16373
16051,28439
16053,23768
16055,157320
16057,39741
16059,7829
16061,3884
16063,5376
16065,39370
16067,20722
16069,40289
16071,4389
16073,11618
16075,23163
16077,7606
16079,12519
16081,11445
16083,85374
16085,10667
16087,10051
17001,66057
17003,6278
17005,16648
17007,53513
17009,6609
17011,33137
17013,4851
17015,14475
17017,12492
17019,210425
17021,33007
17023,15812
17025,13270
17027,37645
17029,51353
17031,5200821
17033,18975
17035,10880
17037,104309
17039,15906
17041,19629
17043,930265
17045,17390
17047,6448
17049,34123
17051,21514
17053,13298
17055,38995
17057,35104
17059,5071
17061,13156
17063,50622
17065,8181
17067,17958
17069,3922
17071,6819
17073,49219
17075,27777
17077,57904
17079,9523
17081,38045
17083,21912
17085,21495
17087,12399
17089,532272
17091,110540
17093,126152
17095,50577
17097,702475
17099,109622
17101,16027
17103,34540
17105,36124
17107,29034
17109,30373
17111,307815
17113,172754
17115,105399
17117,45505
17119,265251
17121,37726
17123,11668
17125,13677
17127,14291
17129,12293
17131,15608
17133,34179
17135,28781
17137,34245
17139,14701
17141,50993
17143,182525
17145,21281
17147,16422
17149,15668
17151,4183
17153,5520
17155,5694
17157,32297
17159,15837
17161,143828
17163,262600
17165,23963
17167,197072
17169,6948
17171,4983
17173,21774
17175,5457
17177,44997
17179,133489
17181,16968
17183,77689
17185,11523
17187,17144
17189,13963
17191,16412
17193,13903
17195,55955
17197,690479
17199,67049
17201,284681
17203,38670
18001,35385
18003,371723
18005,82213
18007,8631
18009,12028
18011,65723
18013,15010
18015,20067
18017,37828
18019,116545
18021,26167
18023,32195
18025,10535
18027,33136
18029,49564
18031,26620
18033,42806
18035,115246
18037,42538
18039,204194
18041,23154
18043,77006
18045,16419
18047,22694
18049,19995
18051,33721
18053,66305
18055,32172
18057,322933
18059,74998
18061,39777
18063,163622
18065,48170
18067,82210
18069,36222
18071,43955
18073,33424
18075,20883
18077,32013
18079,27652
18081,153820
18083,37044
18085,79026
18087,39248
18089,484601
18091,109842
18093,45592
18095,129418
18097,950537
18099,46433
18101,10181
18103,35864
18105,146638
18107,38343
18109,69793
18111,14027
18113,47329
18115,5854
18117,19423
18119,20791
18121,16907
18123,18978
18125,12315
18127,168495
18129,25569
18131,12529
18133,37363
18135,24907
18137,28428
18139,16643
18141,270057
18143,23793
18145,44367
18147,20440
18149,22935
18151,34384
18153,20700
18155,10686
18157,191199
18159,15137
18161,7159
18163,180954
18165,15503
18167,107569
18169,31380
18171,8204
18173,62401
18175,27771
18177,66179
18179,27958
18181,24163
18183,33722
19001,7051
19003,3657
19005,13803
19007,12353
19009,5550
19011,25656
19013,132238
19015,26443
19017,24823
19019,21126
19021,20144
19023,14592
19025,9729
19027,20274
19029,13144
19031,18490
19033,42999
19035,11307
19037,12002
19039,9396
19041,16141
19043,17648
19045,46874
19047,17076
19049,87208
19051,8969
19053,7947
19055,17143
19057,39326
19059,17141
19061,97066
19063,9422
19065,19687
19067,15767
19069,10160
19071,6930
19073,8954
19075,12298
19077,10645
19079,15032
19081,10756
19083,17073
19085,14107
19087,20044
19089,9229
19091,9569
19093,6869
19095,16133
19097,19382
19099,36995
19101,18219
19103,149325
19105,20618
19107,10141
19109,14939
19111,34216
19113,224379
19115,11195
19117,8533
19119,11785
19121,16000
19123,22211
19125,33091
19127,40078
19129,15060
19131,10563
19133,8724
19135,7798
19137,10112
19139,42872
19141,13774
19143,6021
19145,15213
19147,9052
19149,25060
19151,6833
19153,480487
19155,93416
19157,18334
19159,5024
19161,9803
19163,172448
19165,11574
19167,34781
19169,97278
19171,17029
19173,6095
19175,12459
19177,7155
19179,35022
19181,50078
19183,22204
19185,6492
19187,36637
19189,10573
19191,20129
19193,102132
19195,7455
19197,12765
20001,12555
20003,7833
20005,16298
20007,4570
20009,26394
20011,14609
20013,9609
20015,66845
20017,2651
20019,3315
20021,20129
20023,2684
20025,1995
20027,8006
20029,8912
20031,8228
20033,1759
20035,35297
20037,38925
20039,2863
20041,18829
20043,7657
20045,120281
20047,2873
20049,2514
20051,28735
20053,6284
20055,36720
20057,34218
20059,25631
20061,33774
20063,2622
20065,2485
20067,7490
20069,6018
20071,1226
20073,6067
20075,2616
20077,5580
20079,34373
20081,4019
20083,1863
20085,13332
20087,18932
20089,2857
20091,591305
20093,3935
20095,7275
20097,2486
20099,20129
20101,1548
20103,81109
20105,3043
20107,9697
20109,2814
20111,33257
20113,28687
20115,11945
20117,9687
20119,4230
20121,33429
20123,6137
20125,32390
20127,5467
20129,2747
20131,10060
20133,16094
20135,2856
20137,5421
20139,15842
20141,3539
20143,5817
20145,6665
20147,5370
20149,23916
20151,9500
20153,2473
20155,62714
20157,4654
20159,9563
20161,73977
20163,5055
20165,3048
20167,6930
20169,54508
20171,4928
20173,513176
20175,22245
20177,178056
20179,2526
20181,5936
20183,3615
20185,4186
20187,2055
20189,5551
20191,23117
20193,7821
20195,2843
20197,6832
20199,1515
20201,5479
20203,2121
20205,8707
20207,3130
20209,165087
21001,19287
21003,20903
21005,22545
21007,8018
21009,43746
21011,12381
21013,26863
21015,130952
21017,20092
21019,47808
21021,29972
21023,8285
21025,12929
21027,20131
21029,80269
21031,12778
21033,12666
21035,38832
21037,92878
21039,4788
21041,10714
21043,27214
21045,15818
21047,71024
21049,35899
21051,20251
21053,10212
21055,8999
21057,6710
21059,100461
21061,12226
21063,7493
21065,14178
21067,321964
21069,14439
21071,36296
21073,50492
21075,6163
21077,8720
21079,17449
21081,24973
21083,37190
21085,26286
21087,11036
21089,35514
21091,8778
21093,108161
21095,26676
21097,18735
21099,18745
21101,45867
21103,15972
21105,4518
21107,45293
21109,13422
21111,769828
21113,53259
21115,22606
21117,165608
21119,15244
21121,31444
21123,14196
21125,60317
21127,15756
21129,6602
21131,10310
21133,22303
21135,13363
21137,24495
21139,9249
21141,27003
21143,8261
21145,65364
21147,17372
21149,9216
21151,91170
21153,12519
21155,19276
21157,31318
21159,11492
21161,17192
21163,28033
21165,6465
21167,21542
21169,10093
21171,10597
21173,27913
21175,13230
21177,30925
21179,45591
21181,7160
21183,24116
21185,66557
21187,10794
21189,4402
21191,14602
21193,26586
21195,58905
21197,12297
21199,64314
21201,2120
21203,16778
21205,24514
21207,17723
21209,54782
21211,47209
21213,18046
21215,18619
21217,25544
21219,12177
21221,14418
21223,8521
21225,14620
21227,129074
21229,11880
21231,20628
21233,13012
21235,36074
21237,7248
21239,26385
22001,62559
22003,25583
22005,123177
22007,22568
22009,40836
22011,36847
22013,13631
22015,126959
22017,245935
22019,202466
22021,9959
22023,6944
22025,9830
22027,15953
22029,19846
22031,27267
22033,444511
22035,7111
22037,19380
22039,33663
22041,20256
22043,22296
22045,71982
22047,32906
22049,15898
22051,436126
22053,31480
22055,241756
22057,98123
22059,14887
22061,47471
22063,137712
22065,11342
22067,25655
22069,39042
22071,391493
22073,155841
22075,23348
22077,22164
22079,131253
22081,8527
22083,20413
22085,23909
22087,46110
22089,52620
22091,10322
22093,21380
22095,43328
22097,83535
22099,54066
22101,50708
22103,255921
22105,132353
22107,4574
22109,111823
22111,22398
22113,59936
22115,49789
22117,46649
22119,39264
22121,26184
22123,10974
22125,15371
22127,14350
23001,107399
23003,67609
23005,292181
23007,29799
23009,54539
23011,121913
23013,39759
23015,34215
23017,57534
23019,151645
23021,16804
23023,35436
23025,50351
23027,39772
23029,31374
23031,204282
24001,71352
24003,571339
24005,828645
24009,91435
24011,33096
24013,167547
24015,102394
24017,159450
24019,32105
24021,250622
24023,29242
24025,251858
24027,319251
24029,19442
24031,1046822
24033,909705
24035,49586
24037,112487
24039,25896
24041,37033
24043,150169
24045,102252
24047,51659
24510,610481
25001,213581
25003,126353
25005,560941
25007,17311
25009,784453
25011,70605
25013,467705
25015,161077
25017,1603943
25019,11205
25021,700599
25023,515461
25025,800806
25027,825749
26001,10309
26003,9144
26005,116368
26007,28428
26009,23270
26011,15014
26013,8441
26015,60682
26017,104045
26019,17624
26021,154128
26023,43375
26025,134180
26027,51481
26029,26212
26031,25454
26033,37679
26035,30565
