fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
5049,1.5,1.5,1.5,1.5,1.5
5051,1.5,1.5,1.5,1.5,1.5
5053,1.5,1.5,1.5,1.5,1.5
5055,1.5,1.5,1.5,1.5,1.5
5057,1.5,1.5,1.5,1.5,1.5
5059,1.5,1.5,1.5,1.5,1.5
5061,1.5,1.5,1.5,1.5,1.5
5063,1.5,1.5,1.5,1.5,1.5
5065,1.5,1.5,1.5,1.5,1.5
5067,1.5,1.5,1.5,1.5,1.5
5069,1.5,1.5,1.5,1.5,1.5
5071,1.5,1.5,1.5,1.5,1.5
5073,1.5,1.5,1.5,1.5,1.5
5075,1.5,1.5,1.5,1.5,1.5
5077,1.5,1.5,1.5,1.5,1.5
5079,1.5,1.5,1.5,1.5,1.5
5081,1.5,1.5,1.5,1.5,1.5
5083,1.5,1.5,1.5,1.5,1.5
5085,1.5,1.5,1.5,1.5,1.5
5087,1.5,1.5,1.5,1.5,1.5
5089,1.5,1.5,1.5,1.5,1.5
5091,1.5,1.5,1.5,1.5,1.5
5093,1.5,1.5,1.5,1.5,1.5
5095,1.5,1.5,1.5,1.5,1.5
5097,1.5,1.5,1.5,1.5,1.5
5099,1.5,1.5,1.5,1.5,1.5
5101,1.5,1.5,1.5,1.5,1.5
5103,1.5,1.5,1.5,1.5,1.5
5105,1.5,1.5,1.5,1.5,1.5
5107,1.5,1.5,1.5,1.5,1.5
5109,1.5,1.5,1.5,1.5,1.5
5111,1.5,1.5,1.5,1.5,1.5
5113,1.5,1.5,1.5,1.5,1.5
5115,1.5,1.5,1.5,1.5,1.5
5117,1.5,1.5,1.5,1.5,1.5
5119,1.5,1.5,1.5,1.5,1.5
5121,1.5,1.5,1.5,1.5,1.5
5123,1.5,1.5,1.5,1.5,1.5
5125,1.5,1.5,1.5,1.5,1.5
5127,1.5,1.5,1.5,1.5,1.5
5129,1.5,1.5,1.5,1.5,1.5
5131,1.5,1.5,1.5,1.5,1.5
5133,1.5,1.5,1.5,1.5,1.5
5135,1.5,1.5,1.5,1.5,1.5
5137,1.5,1.5,1.5,1.5,1.5
5139,1.5,1.5,1.5,1.5,1.5
5141,1.5,1.5,1.5,1.5,1.5
5143,1.5,1.5,1.5,1.5,1.5
5145,1.5,1.5,1.5,1.5,1.5
5147,1.5,1.5,1.5,1.5,1.5
5149,1.5,1.5,1.5,1.5,1.5
6001,6.5,6.5,0.0,6.5,0.0
6003,6.5,6.5,0.0,6.5,0.0
6005,6.5,6.5,0.0,6.5,0.0
6007,6.5,6.5,0.0,6.5,0.0
6009,6.5,6.5,0.0,6.5,0.0
6011,6.5,6.5,0.0,6.5,0.0
6013,6.5,6.5,0.0,6.5,0.0
6015,6.5,6.5,0.0,6.5,0.0
6017,6.5,6.5,0.0,6.5,0.0
6019,6.5,6.5,0.0,6.5,0.0
6021,6.5,6.5,0.0,6.5,0.0
6023,6.5,6.5,0.0,6.5,0.0
6025,6.5,6.5,0.0,6.5,0.0
6027,6.5,6.5,0.0,6.5,0.0
6029,6.5,6.5,0.0,6.5,0.0
6031,6.5,6.5,0.0,6.5,0.0
6033,6.5,6.5,0.0,6.5,0.0
6035,6.5,6.5,0.0,6.5,0.0
6037,6.5,6.5,0.0,6.5,0.0
6039,6.5,6.5,0.0,6.5,0.0
6041,6.5,6.5,0.0,6.5,0.0
6043,6.5,6.5,0.0,6.5,0.0
6045,6.5,6.5,0.0,6.5,0.0
6047,6.5,6.5,0.0,6.5,0.0
6049,6.5,6.5,0.0,6.5,0.0
6051,6.5,6.5,0.0,6.5,0.0
6053,6.5,6.5,0.0,6.5,0.0
6055,6.5,6.5,0.0,6.5,0.0
6057,6.5,6.5,0.0,6.5,0.0
6059,6.5,6.5,0.0,6.5,0.0
6061,6.5,6.5,0.0,6.5,0.0
6063,6.5,6.5,0.0,6.5,0.0
6065,6.5,6.5,0.0,6.5,0.0
6067,6.5,6.5,0.0,6.5,0.0
6069,6.5,6.5,0.0,6.5,0.0
6071,6.5,6.5,0.0,6.5,0.0
6073,6.5,6.5,0.0,6.5,0.0
6075,6.5,6.5,0.0,6.5,0.0
6077,6.5,6.5,0.0,6.5,0.0
6079,6.5,6.5,0.0,6.5,0.0
6081,6.5,6.5,0.0,6.5,0.0
6083,6.5,6.5,0.0,6.5,0.0
6085,6.5,6.5,0.0,6.5,0.0
6087,6.5,6.5,0.0,6.5,0.0
6089,6.5,6.5,0.0,6.5,0.0
6091,6.5,6.5,0.0,6.5,0.0
6093,6.5,6.5,0.0,6.5,0.0
6095,6.5,6.5,0.0,6.5,0.0
6097,6.5,6.5,0.0,6.5,0.0
6099,6.5,6.5,0.0,6.5,0.0
6101,6.5,6.5,0.0,6.5,0.0
6103,6.5,6.5,0.0,6.5,0.0
6105,6.5,6.5,0.0,6.5,0.0
6107,6.5,6.5,0.0,6.5,0.0
6109,6.5,6.5,0.0,6.5,0.0
6111,6.5,6.5,0.0,6.5,0.0
6113,6.5,6.5,0.0,6.5,0.0
6115,6.5,6.5,0.0,6.5,0.0
8001,2.91,2.91,0.0,0.0,0.0
8003,2.91,2.91,0.0,0.0,0.0
8005,2.91,2.91,0.0,0.0,0.0
8007,2.91,2.91,0.0,0.0,0.0
